-0.1	-0.0284211
-0.09	-0.02841234
-0.08	-0.028419
-0.07	-0.02840317
-0.06	-0.02841629
-0.05	-0.02841923
-0.04	-0.02841944
-0.03	-0.02839983
-0.02	-0.02842006
-0.01	-0.02842047
0	-0.02840672
0.01	-0.02840441
0.02	-0.02841506
0.03	-0.02841317
0.04	-0.02840546
0.05	-0.02840212
0.06	-0.02840003
0.07	-0.02840066
0.08	-0.02838336
0.09	-0.02838233
0.1	-0.02840712
0.11	-0.02839587
0.12	-0.02838232
0.13	-0.02839211
0.14	-0.02837877
0.15	-0.0283917
0.16	-0.02836688
0.17	-0.02836793
0.18	-0.02834833
0.19	-0.02837356
0.2	-0.02834248
0.21	-0.02834832
0.22	-0.02833645
0.23	-0.02832665
0.24	-0.0283206
0.25	-0.02829391
0.26	-0.02829852
0.27	-0.02825034
0.28	-0.02824971
0.29	-0.02823492
0.3	-0.02820532
0.31	-0.02816821
0.32	-0.02813714
0.33	-0.02809294
0.34	-0.0280304
0.35	-0.02792011
0.36	-0.02781755
0.37	-0.0276493
0.38	-0.0274279
0.39	-0.02712644
0.4	-0.02672679
0.41	-0.02616224
0.42	-0.02538776
0.43	-0.02432016
0.44	-0.02290461
0.45	-0.02102019
0.46	-0.01853245
0.47	-0.01534214
0.48	-0.01134712
0.49	-0.006432728
0.5	-0.0005703919
0.51	0.006278079
0.52	0.01409472
0.53	0.02284346
0.54	0.03247303
0.55	0.042904
0.56	0.0540919
0.57	0.06593402
0.58	0.07840537
0.59	0.09141141
0.6	0.1049249
0.61	0.1188766
0.62	0.1332529
0.63	0.1479968
0.64	0.1630936
0.65	0.1785131
0.65	0.1788845
0.64	0.1638866
0.63	0.1491717
0.62	0.1347788
0.61	0.1207159
0.6	0.1070272
0.59	0.09376176
0.58	0.08097002
0.57	0.068688
0.56	0.05696283
0.55	0.04586809
0.54	0.03546153
0.53	0.02581051
0.52	0.01697942
0.51	0.0089987
0.5	0.001961973
0.49	-0.004153043
0.48	-0.009318026
0.47	-0.01361283
0.46	-0.01709834
0.45	-0.01982978
0.44	-0.0219629
0.43	-0.02360339
0.42	-0.0248259
0.41	-0.02571524
0.4	-0.02638634
0.39	-0.02689815
0.38	-0.02726694
0.37	-0.02752607
0.36	-0.02771912
0.35	-0.02785629
0.34	-0.02798658
0.33	-0.02805268
0.32	-0.02811834
0.31	-0.02816609
0.3	-0.02820944
0.29	-0.0282426
0.28	-0.0282549
0.27	-0.02829451
0.26	-0.0282918
0.25	-0.02831515
0.24	-0.02832954
0.23	-0.02833036
0.22	-0.02834724
0.21	-0.02836414
0.2	-0.02837663
0.19	-0.0283806
0.18	-0.02838372
0.17	-0.02839394
0.16	-0.02839393
0.15	-0.02840749
0.14	-0.02840625
0.13	-0.02843522
0.12	-0.02843669
0.11	-0.02842229
0.1	-0.02843813
0.09	-0.02844148
0.08	-0.02845252
0.07	-0.02844669
0.06	-0.02845377
0.05	-0.02846148
0.04	-0.02846754
0.03	-0.02845313
0.02	-0.02848691
0.01	-0.02847795
0	-0.02846773
-0.01	-0.02846857
-0.02	-0.02848586
-0.03	-0.02848817
-0.04	-0.02849484
-0.05	-0.0284867
-0.06	-0.02849274
-0.07	-0.02851485
-0.08	-0.02849526
-0.09	-0.02849628
-0.1	-0.02852757
